cycle,time_duration,voltage_mean,voltage_min,voltage_max,charge_mean,charge_max,temperature_mean,temperature_max,Cycle,Capacity_mAh
cyc0000,0.040609576,3.819663927,2.7192132,4.1999769,362.1016452,724.1208914,40.0495192,41.295536,0,724.1209402
cyc0100,0.040072865,3.821715083,2.7196143,4.200017,357.3576017,714.5350427,39.99398312,40.980995,100,714.5350915
cyc0200,0.039813415,3.822390977,2.7197745,4.1998968,354.9413785,709.8543465,39.9925767,41.243099,200,709.8543953
cyc0300,0.039645106,3.822892945,2.7206407,4.1998005,353.5723414,707.0393485,40.0068827,40.928558,300,707.0393974
cyc0400,0.039380186,3.823835096,2.7208812,4.1998806,351.1833832,702.2342863,39.988917,40.862762,400,702.2343352
cyc0500,0.039192125,3.824572175,2.7208812,4.2000809,349.5219243,698.8440013,40.01196161,41.085831,500,698.8440502
cyc0600,0.03900399,3.825224844,2.7218437,4.1999207,347.7550801,695.4850715,39.98032709,40.862762,600,695.4851204
cyc0700,0.038919564,3.825885075,2.7357342,4.1999211,345.8764072,691.6932258,40.05658096,40.950142,700,691.6932669
cyc0800,0.038692707,3.826826518,2.7356942,4.2000413,343.9119744,687.6300422,40.06715962,40.925171,800,687.6300833
cyc0900,0.038503068,3.827630611,2.7358947,4.1999612,342.1595207,684.2488065,40.05644902,41.025017,900,684.2488476
cyc1000,0.038323971,3.82856081,2.7356141,4.2000413,340.6131275,681.0607272,40.01495669,40.912663,1000,681.0607683
cyc1100,0.0381438,3.829327832,2.7352931,4.1998005,338.9639878,677.8486336,40.08509526,40.975075,1100,677.8486747
cyc1200,0.037968183,3.830241729,2.7354937,4.2000012,337.4207219,674.7281888,40.03864882,40.937637,1200,674.7282298
cyc1300,0.037789897,3.831147643,2.7352931,4.1998005,335.8746478,671.5560814,40.03969419,40.950142,1300,671.5561225
cyc1400,0.037627571,3.831865722,2.7356141,4.1999211,334.3324362,668.6709792,40.03972486,40.950142,1400,668.6710203
cyc1600,0.037301872,3.833920409,2.7353272,4.199955,331.493404,662.9724288,0.520407667,0.52182555,1600,662.9724699
cyc1800,0.036937007,3.835711237,2.7356079,4.1997943,328.2922154,656.4621886,40.10816656,41.074959,1800,656.4622297
cyc1900,0.036754666,3.836961986,2.7360675,4.2000537,326.6727181,653.2751604,40.06495981,41.000046,1900,653.2752015
cyc2000,0.036576814,3.838057772,2.7360075,4.1998734,325.131329,650.1157423,39.97233173,40.900196,2000,650.1157834
cyc2100,0.036409546,3.838178976,2.7360075,4.1997528,323.5687385,647.1105117,40.03728063,40.975075,2100,647.1105528
cyc2200,0.03623497,3.839608167,2.7361572,4.1999426,322.05324,644.0549445,40.06441716,41.000046,2200,644.0549855
cyc2300,0.036054,3.839849583,2.7361972,4.2000628,320.4857515,640.7948747,40.09430532,41.037483,2300,640.7949158
cyc2400,0.035901393,3.841206401,2.7362452,4.1999502,319.076683,638.1391374,40.13006629,41.087425,2400,638.1391785
cyc2500,0.035748382,3.841195349,2.7364054,4.1999907,317.7161332,635.3790872,40.14874499,41.137371,2500,635.3791283
